Kommunkod|Tätortskod|Tätortsbeteckning|lat|lng
2181|T7168|Kungsgården|60.60550431144881|16.6054515569388
2181|T7272|Sandviken|60.61252287667289|16.768121166527575
2181|T7296|Storvik|60.585657628602526|16.52573090679018
2181|T7364|Västerberg|60.59606608076822|16.553759845456053
2181|T7376|Årsunda|60.51643235666414|16.734352583058442
2181|T7380|Åshammar|60.63711828613895|16.56036141477973
2181|T7384|Österfärnebo|60.3039355549625|16.803309351719104
2182|T7024|Bergvik|61.253482709745484|16.82749411000413
2182|T7188|Ljusne|61.21263684991227|17.125180776897693
2182|T7212|Marmaskogen|61.28201367832738|16.952478153504003
2182|T7214|Mohed|61.28691400152135|16.831584264657835
2182|T7268|Sandarne|61.25631486421174|17.1669341647725
2182|T7316|Söderhamn|61.30836766688475|17.052561048197997
2182|T7342|Trönö|61.39479137512431|16.8361367198323
2182|T7352|Vallvik|61.18261506633984|17.179321090016455
2182|T7356|Vannsätter|61.26005348041498|16.79065695127798
2182|T7378|Vad, Åsbacka och Långrör|61.28158059479007|17.144751924071556
2183|T7004|Arbrå|61.472227001285425|16.373805436179747
2183|T7036|Bollnäs|61.34837017549827|16.388324117336882
2183|T7058|Freluga|61.32565541972856|16.293528124382497
2183|T7156|Kilafors|61.23179451006214|16.561046358844752
2183|T7196|Lottefors|61.41394605432846|16.409821862553468
2183|T7252|Rengsjö|61.364402430307074|16.610191604306497
2183|T7276|Segersta|61.26913008716011|16.638771557021055
2183|T7280|Sibo|61.21516075646546|16.616526389349218
2183|T7348|Vallsta|61.51879144978128|16.366535660973796
2184|T7040|Delsbo|61.80272559086118|16.557158282548
2184|T7128|Edsta|61.77376438984799|17.00394953338732
2184|T7048|Enånger|61.543720285170835|17.001655594855528
2184|T7054|Fredriksfors|61.787131578802345|16.61832501947522
2184|T7056|Friggesund|61.89605121736455|16.549034468890166
2184|T7120|Hudiksvall|61.728947489162046|17.112087042860093
2184|T7132|Iggesund|61.64540286125909|17.082236518038048
2184|T7216|Njutånger|61.611536630398646|17.053237543063982
2184|T7232|Näsviken|61.75924967326041|16.873925238302288
2184|T7320|Sörforsa|61.71994226708529|16.96900001254162
2260|T7400|Alby|62.49690740467782|15.482571535728137
2260|T7472|Ljungaverk och Fränsta|62.496147377658104|16.12030523288804
2260|T7708|Torpshammar|62.46954551880165|16.34247415790279
2260|T7736|Ånge|62.518049050525384|15.646302853007306
2262|T7416|Bergeforsen|62.53079333338788|17.386559438939383
2262|T7544|Laggarberg|62.46320837955423|17.24083109693424
2262|T7668|Stavreviken|62.55385253111554|17.411812554276892
2262|T7700|Söråker|62.504864698887616|17.511113754852396
2262|T7704|Timrå|62.49590642431596|17.347788952051985
2280|T7632|Ramvik|62.8061582559268|17.866324496590885
2280|T7500|Härnösand|62.632637184756085|17.93286760351335
2280|T7740|Älandsbro|62.67993211450547|17.84604900625886
2281|T7408|Ankarsvik|62.37281987993092|17.414580605663616
2281|T7462|Fanbyn|62.40541436625613|16.569791596979307
2281|T7486|Hartungviken och Spikarna|62.360009224462964|17.526094654992953
2281|T7492|Hovid|62.4749640279417|17.37909200506933
2281|T7504|Indal|62.57992499187755|17.096826063880346
2281|T7402|Klingsta och Allsta|62.3255959129883|17.216381418509584
2281|T7520|Kovland|62.46356111738658|17.151695898416722
2281|T7532|Kvissleby|62.289119146514054|17.3907434422362
2281|T7548|Liden|62.696301577735746|16.803778385410833
2281|T7560|Lucksta|62.30961151566644|17.044146603468292
2281|T7580|Matfors|62.34499247745552|17.021883699304613
2281|T7596|Nedansjö|62.377487708594124|16.840031519451674
2281|T7642|Selånger|62.40628163768067|17.184480018538622
2281|T7646|Vikarbodarna och Skatan|62.20044265078752|17.496753684807512
2281|T7670|Stockvik|62.35062524500014|17.355597229322544
2281|T7676|Stöde|62.42075878045431|16.60672870066259
2281|T7688|Sundsvall|62.39551097708321|17.285989361706747
2281|T7714|Viforsen och Tunbyn|62.31010161895198|17.191138751269996
2281|T7726|Vattjom|62.365757256153245|17.02403563526175
2281|T7404|Vi|62.43114714741659|17.417791413687823
2282|T7432|Bollstabruk|62.98607211357172|17.69213511158222
2282|T7448|Docksta|63.05599739313994|18.331624154091624
2282|T7488|Herrskog|62.91598628994151|18.021426937206485
2282|T7516|Klockestrand|62.879205707928016|17.905524436566065
2282|T7524|Kramfors|62.92484273348713|17.79626573156575
2282|T7568|Lunde|62.87788596192111|17.8611648412997
2282|T7564|Lugnvik|62.925891943725894|17.918291794658174
2282|T7588|Mjällom|62.98457238598083|18.429981241447656
2282|T7604|Nordingrå|62.930651403742395|18.290210647964923
2282|T7616|Nyland|63.01082411709327|17.75645242894117
2282|T7636|Sandslån|63.0139353365735|17.796059579448347
2282|T7680|Ullånger|63.011260363428605|18.18451774629641
2283|T7512|Junsele|63.69586380043416|16.8825711235762
2283|T7572|Långsele|63.17910182225973|17.06047205171506
2283|T7620|Näsåker|63.44383681565414|16.902398612378484
2283|T7628|Ramsele|63.53837176474541|16.471189340342793
2283|T7660|Sollefteå|63.160324255670716|17.266890725157293
2283|T7662|Sollefteå norra|63.17759331026757|17.2735069308295
2284|T7420|Billsta|63.32292639294037|18.514315812222986
2284|T7424|Bjästa|63.20193761455727|18.503995699373277
2284|T7428|Björna|63.55043612063085|18.59852273759157
2284|T7444|Bredbyn|63.45884669774365|18.09508187770272
2284|T7476|Gideå|63.48149173674745|18.972326019569998
2284|T7482|Gottne|63.43189834738437|18.42654611561702
2284|T7496|Husum|63.33239205694221|19.160662333306338
2284|T7540|Köpmanholmen|63.17035381466452|18.575723100366737
2284|T7576|Långviksmon|63.630287958878846|18.695813620158383
2284|T7584|Mellansel|63.42407102089985|18.308493456386664
2284|T7592|Moliden|63.38119390660185|18.448029816607438
2284|T7644|Sidensjö|63.30083772597843|18.278705635882435
2284|T7732|Åmynnet|63.1859300896102|18.531398261160525
2284|T7744|Örnsköldsvik|63.265490833658504|18.676190775574604
2303|T7856|Hammarstrand|63.10552955217615|16.349083113713633
2303|T7964|Stugun|63.16874263314442|15.588350502519372
2303|T7808|Västra Bispgården|63.0253998203045|16.63159348073565
2303|T7806|Östra Bispgården|63.00068010595651|16.675771061036556
2305|T7816|Bräcke|62.750811613795506|15.420663741370117
2305|T7844|Gällö|62.91376083814173|15.231979798418548
2305|T7896|Kälarne|62.9784935191084|16.089744663196885
2305|T7944|Pilgrimstad|62.9523489299119|15.048033810675523
2309|T7800|Aspås|63.3655177244801|14.484183594012926
2309|T7814|Åssjöns norra strand|63.24146601179859|14.534313783764638
2309|T7824|Dvärsätt|63.30231619448124|14.472187107338678
2309|T7836|Föllinge|63.67235837216317|14.612843424166076
2309|T7872|Hissmofors|63.326996225289435|14.4717751163355
2309|T7888|Krokom|63.33069006317151|14.44938197064112
2309|T7932|Nälden|63.34881082339204|14.245280015436899
2309|T7988|Trångsviken|63.33105158088992|14.019922404341658
2309|T8002|Vaplan|63.33876195595482|14.225827777403893
2309|T8028|Ås|63.243147824635706|14.56373133492063
2309|T8040|Änge|63.45747364018282|14.069859242568663
2313|T7804|Backe|63.81243849946119|16.40397135507876
2313|T7840|Gäddede|64.50128270932392|14.141900481263487
